agent_code,performance_level,new_policy_count_baseline,ANBP_value_baseline,net_income_baseline,overall_conversion_rate_baseline,unique_proposals_last_21_days_baseline,unique_customers_baseline,new_policy_count_target,ANBP_value_target,net_income_target,overall_conversion_rate_target,unique_proposals_last_21_days_target,unique_customers_target,intervention_start_date,first_checkpoint,second_checkpoint,final_evaluation,new_policy_count_first_checkpoint,ANBP_value_first_checkpoint,net_income_first_checkpoint,overall_conversion_rate_first_checkpoint,unique_proposals_last_21_days_first_checkpoint,unique_customers_first_checkpoint,new_policy_count_second_checkpoint,ANBP_value_second_checkpoint,net_income_second_checkpoint,overall_conversion_rate_second_checkpoint,unique_proposals_last_21_days_second_checkpoint,unique_customers_second_checkpoint,new_policy_count_final_evaluation,ANBP_value_final_evaluation,net_income_final_evaluation,overall_conversion_rate_final_evaluation,unique_proposals_last_21_days_final_evaluation,unique_customers_final_evaluation,improvement_status
003c1999,High,27.692307692307693,1662654.7692307692,325970.1538461539,1.2168433261366434,14.307692307692308,17.0,30.461538461538463,1828920.2461538464,358567.1692307693,1.3385276587503079,15.738461538461541,18.700000000000003,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
003c1999,Low,0.0,0.0,185958.5,0.0,2.0,12.0,0.0,0.0,241746.05000000002,0.0,2.6,15.600000000000001,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
003c1999,Medium,17.6,752249.4,192668.0,1.4587587412587413,6.2,14.6,21.12,902699.28,231201.6,1.7505104895104895,7.4399999999999995,17.52,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
00d5bda3,High,29.545454545454547,1319040.3636363635,247365.0,1.282966860741797,15.636363636363637,15.272727272727273,32.50000000000001,1450944.4,272101.5,1.4112635468159769,17.200000000000003,16.8,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
00d5bda3,Low,0.0,0.0,205216.6,0.0,9.0,13.0,0.0,0.0,266781.58,0.0,11.700000000000001,16.900000000000002,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
00d5bda3,Medium,20.0,800188.0,128783.5,1.3175070028011204,8.0,18.5,24.0,960225.6,154540.19999999998,1.5810084033613445,9.6,22.2,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
012a3553,High,27.375,1415205.875,279941.875,1.249401868895576,14.5,16.0,30.1125,1556726.4625000001,307936.0625,1.3743420557851336,15.950000000000001,17.6,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
012a3553,Low,0.0,0.0,172351.66666666666,0.0,10.0,16.333333333333332,0.0,0.0,224057.16666666666,0.0,13.0,21.233333333333334,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
012a3553,Medium,15.88888888888889,840647.4444444445,148770.77777777778,1.3082972582972583,4.666666666666667,15.333333333333334,19.066666666666666,1008776.9333333333,178524.93333333332,1.56995670995671,5.6000000000000005,18.4,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
012f0e15,High,26.375,1420745.375,277476.125,1.2758451040841507,13.0,15.375,29.012500000000003,1562819.9125,305223.73750000005,1.403429614492566,14.3,16.9125,2025-05-09,2025-06-08,2025-07-08,2025-08-07,,,,,,,,,,,,,,,,,,,Pending
